character_name,character_url
Otheym/1984 film,https://dune.fandom.com/wiki/Otheym/1984_film
Otheym/2000 miniseries,https://dune.fandom.com/wiki/Otheym/2000_miniseries
Palimbasha/2000 miniseries,https://dune.fandom.com/wiki/Palimbasha/2000_miniseries
Pardee,https://dune.fandom.com/wiki/Pardee
Paul Atreides/1984 film,https://dune.fandom.com/wiki/Paul_Atreides/1984_film
Paul Atreides/2000 miniseries,https://dune.fandom.com/wiki/Paul_Atreides/2000_miniseries
Paul Atreides/2021 film,https://dune.fandom.com/wiki/Paul_Atreides/2021_film
Piter de Vries/1984 film,https://dune.fandom.com/wiki/Piter_de_Vries/1984_film
Piter de Vries/2000 miniseries,https://dune.fandom.com/wiki/Piter_de_Vries/2000_miniseries
Category:Characters by planet,https://dune.fandom.com/wiki/Category:Characters_by_planet
Pruwet Richese,https://dune.fandom.com/wiki/Pruwet_Richese
Quintinius Violet Chenoeh/DE,https://dune.fandom.com/wiki/Quintinius_Violet_Chenoeh/DE
Rakeel Ibaman,https://dune.fandom.com/wiki/Rakeel_Ibaman
Ramallo/1984 film,https://dune.fandom.com/wiki/Ramallo/1984_film
Ramallo/2000 miniseries,https://dune.fandom.com/wiki/Ramallo/2000_miniseries
Ramallo/2021 film,https://dune.fandom.com/wiki/Ramallo/2021_film
Raquella Berto-Anirul/2021 film,https://dune.fandom.com/wiki/Raquella_Berto-Anirul/2021_film
Rendik Tolu-Far,https://dune.fandom.com/wiki/Rendik_Tolu-Far
Rheinvar,https://dune.fandom.com/wiki/Rheinvar
Ronan Atreides,https://dune.fandom.com/wiki/Ronan_Atreides
Sabiha/2000 miniseries,https://dune.fandom.com/wiki/Sabiha/2000_miniseries
Sabit Rekush,https://dune.fandom.com/wiki/Sabit_Rekush
Saluso VIII,https://dune.fandom.com/wiki/Saluso_VIII
Scytale/2000 miniseries,https://dune.fandom.com/wiki/Scytale/2000_miniseries
Second Muhammad,https://dune.fandom.com/wiki/Second_Muhammad
Shaddam Corrino IV/1984 film,https://dune.fandom.com/wiki/Shaddam_Corrino_IV/1984_film
Shaddam Corrino IV/2000 miniseries,https://dune.fandom.com/wiki/Shaddam_Corrino_IV/2000_miniseries
Shaddam Corrino IV/2021 film,https://dune.fandom.com/wiki/Shaddam_Corrino_IV/2021_film
Shamir/2021 film,https://dune.fandom.com/wiki/Shamir/2021_film
Shander Atreides/2021 film,https://dune.fandom.com/wiki/Shander_Atreides/2021_film
Shannon Richese,https://dune.fandom.com/wiki/Shannon_Richese
Shay Vendee,https://dune.fandom.com/wiki/Shay_Vendee
Sheset VII,https://dune.fandom.com/wiki/Sheset_VII
Shishakli/2021 film,https://dune.fandom.com/wiki/Shishakli/2021_film
Sigan Visee,https://dune.fandom.com/wiki/Sigan_Visee
Sonya Harkonnen/2021 film,https://dune.fandom.com/wiki/Sonya_Harkonnen/2021_film
Stilgar/1984 film,https://dune.fandom.com/wiki/Stilgar/1984_film
Stilgar/2000 miniseries,https://dune.fandom.com/wiki/Stilgar/2000_miniseries
Tanat,https://dune.fandom.com/wiki/Tanat
Theodosia,https://dune.fandom.com/wiki/Theodosia
Thufir Hawat/1984 film,https://dune.fandom.com/wiki/Thufir_Hawat/1984_film
Thufir Hawat/2000 miniseries,https://dune.fandom.com/wiki/Thufir_Hawat/2000_miniseries
Tojan Gbangbala,https://dune.fandom.com/wiki/Tojan_Gbangbala
Tula Harkonnen/2021 film,https://dune.fandom.com/wiki/Tula_Harkonnen/2021_film
Turok/2000 miniseries,https://dune.fandom.com/wiki/Turok/2000_miniseries
Tyekanik/2000 miniseries,https://dune.fandom.com/wiki/Tyekanik/2000_miniseries
Umman Kudu,https://dune.fandom.com/wiki/Umman_Kudu
Category:Characters unique to adaptations,https://dune.fandom.com/wiki/Category:Characters_unique_to_adaptations
Unique Names and terms from the 1984 Dune Movie,https://dune.fandom.com/wiki/Unique_Names_and_terms_from_the_1984_Dune_Movie
Unique Characters from the Dune Collectible Card Game,https://dune.fandom.com/wiki/Unique_Characters_from_the_Dune_Collectible_Card_Game
Unique Names and terms from the 2000 Dune TV Miniseries,https://dune.fandom.com/wiki/Unique_Names_and_terms_from_the_2000_Dune_TV_Miniseries
Unique Names and terms from the Dune Encyclopedia,https://dune.fandom.com/wiki/Unique_Names_and_terms_from_the_Dune_Encyclopedia
Unique Names and terms from the Dune Imperium,https://dune.fandom.com/wiki/Unique_Names_and_terms_from_the_Dune_Imperium
Unique Names and terms from the Dune Role Playing Game,https://dune.fandom.com/wiki/Unique_Names_and_terms_from_the_Dune_Role_Playing_Game
Unnamed Characters,https://dune.fandom.com/wiki/Unnamed_Characters
Unnamed Descendant of Stilgar,https://dune.fandom.com/wiki/Unnamed_Descendant_of_Stilgar
Unnamed Minister-Companion,https://dune.fandom.com/wiki/Unnamed_Minister-Companion
Unnamed Spacing Guild Mentat,https://dune.fandom.com/wiki/Unnamed_Spacing_Guild_Mentat
Varota,https://dune.fandom.com/wiki/Varota
